Latitude,Longitude,Address,Submission Title,Name,Link,Description,Image,Status,Units,Market Rate,Affordable,Rent,Own,Parking,Stories,Height (ft),Notes,Community edit?
42.2912906,-71.07772,25 New England Avenue,25 New England Avenue,n/a,http://www.bostonplans.org/projects/development-projects/25-new-england-avenue,Codman Square Neighborhood Development Corporation proposes the construction of 23 affordable rental units with 12 parking spaces at 25 New England Avenue in the Codman Square Neighborhood of Dorchester.,assets/images/19001-New-England-Ave_ARTICLE-80-DRAWINGS.jpg,Board Approved,23,,23,23,,12,4,42,,
42.28133411,-71.08455304,872 Morton Street,Morton Station Village,Morton Station Village,http://www.bostonplans.org/projects/development-projects/morton-station-village,"Morton Station Village is a new construction development consisting of 40 units of mixed-income affordable and workforce housing, of which thirty-one (31) units will be rental units for households with incomes of 30% AMI to 100% AMI and nine (9) units will be deed-restricted affordable condominium units for households with incomes of 80% AMI to 100% AMI. The Proposed Development will be adjacent to the Steven P. Odom Serenity Garden.",assets/images/Morton-Station-Village-Small-Project-Review-Application-9-5.jpg,Board Approved,40,,,31,9,30,4,54,,
42.28903392,-71.0901194,1047-1051 Blue Hill Avenue,Brookview House II,Brookview House II,http://www.bostonplans.org/projects/development-projects/brookview-house-ii,proposing to develop sixteen (16) units of permanent affordable rental housing for homeless families with supportive services.,,Under Construction,16,,16,16,,,,,Extremely low income,
42.28850232,-71.09145625,35 Hansborough Street,Brookview House III,Brookview House III,https://courbanize.com/projects/dnd-brookview-house-iii/information,"a low-income, three-story building with twelve (12) residential rental units, program space and two (2) on-site/off-street parking spaces. Project in conjunction with the City of Boston Department of Neighborhood Development.",assets/images/Brookview_House_III.png,Construction Complete,12,,12,12,,2,,,Extremely low income,
42.2767857,-71.0690698,1120-1132 Washington Street,1120-1132 Washington Street,n/a,http://www.bostonplans.org/projects/development-projects/1120-1132-washington-street,"Old Molloy Funeral home in Lower Mills. 57 units proposed, to be determined if condos or rentals",assets/images/1120-1132-Washington-Street.jpg,Under Review,57,50,7,TBD,TBD,94,4,40,in Dorchester ,
42.28361364,-71.09164692,1199-1203 Blue Hill Avenue,1199-1203 Blue Hill Avenue,n/a,http://www.bostonplans.org/projects/development-projects/1199-1203-blue-hill-avenue,"A mixed use and commercial development, in which the preliminary unit breakdown is sixteen (16) one-bedroom units and sixteen (16) two-bedroom units.",assets/images/2019-07-22_-1199-1203-Blue-Hill-Ave.jpg,Under Review,32,28,4,32,,32,5,58,,yes 
42.2713417,-71.09065851,150 River Street,150 River Street,n/a,http://www.bostonplans.org/projects/development-projects/150-river-street,"The proposed project consists of an elderly affordable rental complex, along with a publicly accessible shade garden, multi-season screened porch, and indoor community room, living room common area, and laundry.",assets/images/2019-09-27_150-River-Street_SPRA.png,Board Approved,30,,30,30,,12,3,42,Elderly affordable,
42.26940973,-71.09065851,422 River Street,422 River Street,n/a,http://www.bostonplans.org/projects/development-projects/422-river-street,Proposal calls for 27 rental units and off-street parking for 22 vehicles.,assets/images/b8ed8a9e019a8e84cc73788096ce1e45-cc_ft_384.jpg,Construction Complete,27,23,4,27,,22,4,,,yes
42.26800181,-71.09265894,500 River Street,500 River Street,Mattapan Station,https://mattapanstation.org/,"The proposed program for this $57 Million project involves the construction of 135 units of mixed-income rental apartment housing in Building 1, along with 10,000 square feet of commercial/retail space, and a 2,000 square foot community room on the ground floor. The development program also includes the future construction of a second building comprised of 9 homeownership units. In total, the proposed Project comprises 165,750 gross square feet (inclusive of residential floors.) This innovative transit-oriented development project will provide critically needed affordable and market-rate housing in the Mattapan community. Just as importantly, residents of the complex will have a variety of transportation options, including public trainsit, ride-share, and bike-share, along with direct access to the Neponset River Greenway, which will substantially enhance their quality of life with the provision of passive and active recreational opportunities.",assets/images/Mattapan-Rendering-2.png,Board Approved,144,76,68,135,9,70,4,44,POAH/Nuestra Comunidad,
42.2708886,-71.09597434,30-32 Regis Road,Cote Village,Cote Village,http://www.bostonplans.org/projects/development-projects/cote-village,"Construct 76 units with rental office and community room, 4,172 SF of ground-floor commercial space, including a 12,000 SF public plaza with a total of 84 parking spaces.",assets/images/Cote-Village-Building-A-Cummins-Hwy-view-(1).jpg,Board Approved,76,8,68,,,84,,,Caribbean Integration CDC/POAH,
42.28065784,-71.09296934,1297-1305 Blue Hill Ave.,Wellington at 1301,Wellington at 1301,http://www.bostonplans.org/projects/development-projects/wellington-at-1301,"Proposed: the construction of a new five (5)-story, mixed-use building comprised of thirty-nine (39) residential units, a residential lobby, and three (3) ground-floor retail/commercial spaces. Interior, at-grade parking for forty (40) vehicles is provided via access from Blue Hill Avenue, with forty (40) secure bicycle storage spaces also available in the garage area. The Proposed Project totals approximately 42,595 gross square feet.",assets/images/Wellington-at-1301-Rendering.jpg,Board Approved,39,34,5,,,40,5,61.5,,yes
42.28348167,-71.08858823,767-771 Morton Street,775 Morton Street,775 Morton Street,http://www.bostonplans.org/projects/development-projects/775-morton-street,"A proposed project that consists of a new four (4)‐story, 27-unit, rental residential building (including 4 income restricted units), with off-street parking for 29 total vehicles.",assets/images/775-Morton-Street.png,Board Approved,27,23,4,27,,29,4,44,,
42.28760209,-71.09423364,591 Morton Street,Olmsted Green Phase III,Olmsted Green Phase III,https://www.olmstedgreen.com/olmsted-green-overview,"Olmsted Green is a 42 Acre Community
The Development Timeline is a Long Term, Phased development residential development community transforming former Boston State Hospital site into vibrant mixed-income community
298 Apartment Homes for Rent
140 Condominium Homes for Purchase
3,000 Square Foot Community Center with Indoor & Outdoor Amenities
Over 15 acres of Planned Greenspace, Walking Paths and Landscaped Grounds",assets/images/aHR0cHM6Ly9zMy5hbWF6b25hd3MuY29tL2J1aWxkZXJjbG91ZC8yMmQ1NDVjZDk3MmI5MzAzMmU0ZTk1ODIxNjY1NDA4Ny5qcGVn.jpeg,Construction Complete,268,,,147,268,,,,New Boston Fund / Lena Park CDC,
42.27399339,-71.09388389,1471 Blue Hill Avenue,1471 Blue Hill Avenue,n/a,https://www.ttarch.com/1471-blue-hill-ave,"This mixed use development located along the MBTA commuter line at Blue Hill Avenue Station is proposing 34 residential units in addition to 2,500 square feet of ground level commericial space in Mattapan, MA. The growing area and popular intersection along Blue Hill Avenue contains a diversity of uses and demographics. The projects helps bridge the architectural language of the area while providing much needed housing and commercial space. The building itself creates a social urban space at the streetcorner while residential units clad in a variety of metal, wood and brick help merge the new construction into the exisitng residential fabric.",assets/images/TTArch_1471Hero_003_web.jpg,Not Submitted,34,30,4,34,,28,4,,can't find on bpda,
42.30396943,-71.08172485,61 Columbia Road,61 Columbia Road,n/a,http://www.bostonplans.org/projects/development-projects/61-columbia-road,"The proposed project is mixed use, consisting of a 200+ seat auditorium, institutional support spaces, 45 residential studio units (55+, compact living, 6 affordable units), and 32 covered parking spaces. The Owner/Developer is the Massachusetts Association of Minority Law Enforcement Officers (MAMLEO) who is seeking to create a community-focused building in support of its mission. The building use envisions continued community services within assembly spaces, services to MAMLEO membership (gym, offices, meeting rooms), and 55+ housing to support the organization.",assets/images/2021-03-18_Small-Project-Review-Application-(SPRA)_61-Columbia-Road.jpg,Under Review,,,,,,,,,,